user_id;name;surname;birth_date;email;password;phone;gender;city;street;house_no;librarian;false_login_counter;false_login_date
1;KATHRYN;JAMES;1974-03-05;KATHRYN.JAMES@gmailin.com;JAMES123;48816651875;f;London;Portobello Road;46;0;4;2020-03-09 00:00:00
2;BRENDA;RIOS;2006-12-21;BRENDA.RIOS@gmailin.com;RIOS123;48901827366;f;London;Carnaby Street;57;0;5;2019-05-04 00:00:00
3;BRADLEY;OLSON;1976-01-30;BRADLEY.OLSON@gmailin.com;OLSON123;48146926628;m;London;Oxford Street;57;0;4;2017-10-08 00:00:00
4;HOLLY;DOUGLAS;1984-12-05;HOLLY.DOUGLAS@gmailin.com;DOUGLAS123;48353689985;f;London;Brick Lane;4;0;5;2019-12-14 00:00:00
5;NATALIE;SPENCER;1949-05-19;NATALIE.SPENCER@gmailin.com;SPENCER123;48127682337;f;London;King's Road;87;0;2;2018-08-13 00:00:00
6;CAROL;SWANSON;2002-02-21;CAROL.SWANSON@gmailin.com;SWANSON123;48329795650;f;London;Carnaby Street;52;0;2;2019-09-21 00:00:00
7;LAWRENCE;GOODMAN;2003-05-20;LAWRENCE.GOODMAN@gmailin.com;GOODMAN123;48638874396;m;London;Bond Street;38;0;2;2019-08-19 00:00:00
8;ASHLEY;PETERSON;1962-11-12;ASHLEY.PETERSON@gmailin.com;PETERSON123;48673211208;f;London;Oxford Street;41;0;2;2019-08-11 00:00:00
9;JANE;ANDREWS;2009-01-07;JANE.ANDREWS@gmailin.com;ANDREWS123;48323974138;f;London;Knightsbridge ;26;0;1;2018-06-27 00:00:00
10;PATRICIA;CHAPMAN;2012-08-22;PATRICIA.CHAPMAN@gmailin.com;CHAPMAN123;48480902552;f;London;Downing Street;5;0;4;2018-07-08 00:00:00
11;LOUISE;BISHOP;1974-09-12;LOUISE.BISHOP@gmailin.com;BISHOP123;48834429842;f;London;Baker Street;37;0;0;2018-12-11 00:00:00
12;DOROTHY;BARRETT;1958-07-19;DOROTHY.BARRETT@gmailin.com;BARRETT123;48209525462;f;London;Baker Street;99;0;0;2018-11-21 00:00:00
